PassengerId;Survived;Pclass;Sex;Age;SibSp;Parch;Fare;Embarked
170;0;3;male;28,00000;0;0;56,49580;S
171;0;1;male;61,00000;0;0;33,50000;S
172;0;3;male;4,00000;4;1;29,12500;Q
173;1;3;female;1,00000;1;1;11,13330;S
174;0;3;male;21,00000;0;0;7,92500;S
175;0;1;male;56,00000;0;0;30,69580;C
176;0;3;male;18,00000;1;1;7,85420;S
177;0;3;male;;3;1;25,46670;S
178;0;1;female;50,00000;0;0;28,71250;C
179;0;2;male;30,00000;0;0;13,00000;S
180;0;3;male;36,00000;0;0;0,00000;S
181;0;3;female;;8;2;69,55000;S
182;0;2;male;;0;0;15,05000;C
183;0;3;male;9,00000;4;2;31,38750;S
184;1;2;male;1,00000;2;1;39,00000;S
185;1;3;female;4,00000;0;2;22,02500;S
186;0;1;male;;0;0;50,00000;S
187;1;3;female;;1;0;15,50000;Q
188;1;1;male;45,00000;0;0;26,55000;S
189;0;3;male;40,00000;1;1;15,50000;Q
190;0;3;male;36,00000;0;0;7,89580;S
191;1;2;female;32,00000;0;0;13,00000;S
192;0;2;male;19,00000;0;0;13,00000;S
193;1;3;female;19,00000;1;0;7,85420;S
194;1;2;male;3,00000;1;1;26,00000;S
195;1;1;female;44,00000;0;0;27,72080;C
196;1;1;female;58,00000;0;0;146,52080;C
197;0;3;male;;0;0;7,75000;Q
198;0;3;male;42,00000;0;1;8,40420;S
199;1;3;female;;0;0;7,75000;Q
200;0;2;female;24,00000;0;0;13,00000;S
201;0;3;male;28,00000;0;0;9,50000;S
202;0;3;male;;8;2;69,55000;S
203;0;3;male;34,00000;0;0;6,49580;S
204;0;3;male;45,50000;0;0;7,22500;C
205;1;3;male;18,00000;0;0;8,05000;S
206;0;3;female;2,00000;0;1;10,46250;S
207;0;3;male;32,00000;1;0;15,85000;S
208;1;3;male;26,00000;0;0;18,78750;C
209;1;3;female;16,00000;0;0;7,75000;Q
210;1;1;male;40,00000;0;0;31,00000;C
211;0;3;male;24,00000;0;0;7,05000;S
212;1;2;female;35,00000;0;0;21,00000;S
213;0;3;male;22,00000;0;0;7,25000;S
214;0;2;male;30,00000;0;0;13,00000;S
215;0;3;male;;1;0;7,75000;Q
216;1;1;female;31,00000;1;0;113,27500;C
217;1;3;female;27,00000;0;0;7,92500;S
218;0;2;male;42,00000;1;0;27,00000;S
219;1;1;female;32,00000;0;0;76,29170;C
220;0;2;male;30,00000;0;0;10,50000;S
221;1;3;male;16,00000;0;0;8,05000;S
222;0;2;male;27,00000;0;0;13,00000;S
223;0;3;male;51,00000;0;0;8,05000;S
224;0;3;male;;0;0;7,89580;S
225;1;1;male;38,00000;1;0;90,00000;S
226;0;3;male;22,00000;0;0;9,35000;S
227;1;2;male;19,00000;0;0;10,50000;S
228;0;3;male;20,50000;0;0;7,25000;S
229;0;2;male;18,00000;0;0;13,00000;S
230;0;3;female;;3;1;25,46670;S
231;1;1;female;35,00000;1;0;83,47500;S
232;0;3;male;29,00000;0;0;7,77500;S
233;0;2;male;59,00000;0;0;13,50000;S
234;1;3;female;5,00000;4;2;31,38750;S
235;0;2;male;24,00000;0;0;10,50000;S
236;0;3;female;;0;0;7,55000;S
237;0;2;male;44,00000;1;0;26,00000;S
238;1;2;female;8,00000;0;2;26,25000;S
239;0;2;male;19,00000;0;0;10,50000;S
240;0;2;male;33,00000;0;0;12,27500;S
241;0;3;female;;1;0;14,45420;C
242;1;3;female;;1;0;15,50000;Q
243;0;2;male;29,00000;0;0;10,50000;S
244;0;3;male;22,00000;0;0;7,12500;S
245;0;3;male;30,00000;0;0;7,22500;C
246;0;1;male;44,00000;2;0;90,00000;Q
247;0;3;female;25,00000;0;0;7,77500;S
248;1;2;female;24,00000;0;2;14,50000;S
249;1;1;male;37,00000;1;1;52,55420;S
250;0;2;male;54,00000;1;0;26,00000;S
251;0;3;male;;0;0;7,25000;S
252;0;3;female;29,00000;1;1;10,46250;S
253;0;1;male;62,00000;0;0;26,55000;S
254;0;3;male;30,00000;1;0;16,10000;S
255;0;3;female;41,00000;0;2;20,21250;S
256;1;3;female;29,00000;0;2;15,24580;C
257;1;1;female;;0;0;79,20000;C
258;1;1;female;30,00000;0;0;86,50000;S
259;1;1;female;35,00000;0;0;512,32920;C
260;1;2;female;50,00000;0;1;26,00000;S
261;0;3;male;;0;0;7,75000;Q
262;1;3;male;3,00000;4;2;31,38750;S
263;0;1;male;52,00000;1;1;79,65000;S
264;0;1;male;40,00000;0;0;0,00000;S
265;0;3;female;;0;0;7,75000;Q
266;0;2;male;36,00000;0;0;10,50000;S
267;0;3;male;16,00000;4;1;39,68750;S
268;1;3;male;25,00000;1;0;7,77500;S
269;1;1;female;58,00000;0;1;153,46250;S
270;1;1;female;35,00000;0;0;135,63330;S
271;0;1;male;;0;0;31,00000;S
272;1;3;male;25,00000;0;0;0,00000;S
273;1;2;female;41,00000;0;1;19,50000;S
274;0;1;male;37,00000;0;1;29,70000;C
275;1;3;female;;0;0;7,75000;Q
276;1;1;female;63,00000;1;0;77,95830;S
277;0;3;female;45,00000;0;0;7,75000;S
278;0;2;male;;0;0;0,00000;S
279;0;3;male;7,00000;4;1;29,12500;Q
280;1;3;female;35,00000;1;1;20,25000;S
281;0;3;male;65,00000;0;0;7,75000;Q
282;0;3;male;28,00000;0;0;7,85420;S
283;0;3;male;16,00000;0;0;9,50000;S
284;1;3;male;19,00000;0;0;8,05000;S
285;0;1;male;;0;0;26,00000;S
286;0;3;male;33,00000;0;0;8,66250;C
287;1;3;male;30,00000;0;0;9,50000;S
288;0;3;male;22,00000;0;0;7,89580;S
289;1;2;male;42,00000;0;0;13,00000;S
290;1;3;female;22,00000;0;0;7,75000;Q
291;1;1;female;26,00000;0;0;78,85000;S
292;1;1;female;19,00000;1;0;91,07920;C
293;0;2;male;36,00000;0;0;12,87500;C
294;0;3;female;24,00000;0;0;8,85000;S
295;0;3;male;24,00000;0;0;7,89580;S
296;0;1;male;;0;0;27,72080;C
297;0;3;male;23,50000;0;0;7,22920;C
298;0;1;female;2,00000;1;2;151,55000;S
299;1;1;male;;0;0;30,50000;S
300;1;1;female;50,00000;0;1;247,52080;C
301;1;3;female;;0;0;7,75000;Q
302;1;3;male;;2;0;23,25000;Q
303;0;3;male;19,00000;0;0;0,00000;S
304;1;2;female;;0;0;12,35000;Q
305;0;3;male;;0;0;8,05000;S
306;1;1;male;0,92000;1;2;151,55000;S
307;1;1;female;;0;0;110,88330;C
308;1;1;female;17,00000;1;0;108,90000;C
309;0;2;male;30,00000;1;0;24,00000;C
310;1;1;female;30,00000;0;0;56,92920;C
311;1;1;female;24,00000;0;0;83,15830;C
312;1;1;female;18,00000;2;2;262,37500;C
313;0;2;female;26,00000;1;1;26,00000;S
314;0;3;male;28,00000;0;0;7,89580;S
315;0;2;male;43,00000;1;1;26,25000;S
316;1;3;female;26,00000;0;0;7,85420;S
317;1;2;female;24,00000;1;0;26,00000;S
318;0;2;male;54,00000;0;0;14,00000;S
319;1;1;female;31,00000;0;2;164,86670;S
320;1;1;female;40,00000;1;1;134,50000;C
321;0;3;male;22,00000;0;0;7,25000;S
322;0;3;male;27,00000;0;0;7,89580;S
323;1;2;female;30,00000;0;0;12,35000;Q
324;1;2;female;22,00000;1;1;29,00000;S
325;0;3;male;;8;2;69,55000;S
326;1;1;female;36,00000;0;0;135,63330;C
327;0;3;male;61,00000;0;0;6,23750;S
328;1;2;female;36,00000;0;0;13,00000;S
329;1;3;female;31,00000;1;1;20,52500;S
330;1;1;female;16,00000;0;1;57,97920;C
331;1;3;female;;2;0;23,25000;Q
332;0;1;male;45,50000;0;0;28,50000;S
333;0;1;male;38,00000;0;1;153,46250;S
334;0;3;male;16,00000;2;0;18,00000;S
335;1;1;female;;1;0;133,65000;S
336;0;3;male;;0;0;7,89580;S
337;0;1;male;29,00000;1;0;66,60000;S
338;1;1;female;41,00000;0;0;134,50000;C
339;1;3;male;45,00000;0;0;8,05000;S
340;0;1;male;45,00000;0;0;35,50000;S
341;1;2;male;2,00000;1;1;26,00000;S
342;1;1;female;24,00000;3;2;263,00000;S
343;0;2;male;28,00000;0;0;13,00000;S
344;0;2;male;25,00000;0;0;13,00000;S
345;0;2;male;36,00000;0;0;13,00000;S
346;1;2;female;24,00000;0;0;13,00000;S
347;1;2;female;40,00000;0;0;13,00000;S
348;1;3;female;;1;0;16,10000;S
349;1;3;male;3,00000;1;1;15,90000;S
350;0;3;male;42,00000;0;0;8,66250;S
351;0;3;male;23,00000;0;0;9,22500;S
352;0;1;male;;0;0;35,00000;S
353;0;3;male;15,00000;1;1;7,22920;C
354;0;3;male;25,00000;1;0;17,80000;S
355;0;3;male;;0;0;7,22500;C
356;0;3;male;28,00000;0;0;9,50000;S
357;1;1;female;22,00000;0;1;55,00000;S
358;0;2;female;38,00000;0;0;13,00000;S
359;1;3;female;;0;0;7,87920;Q
360;1;3;female;;0;0;7,87920;Q
361;0;3;male;40,00000;1;4;27,90000;S
362;0;2;male;29,00000;1;0;27,72080;C
363;0;3;female;45,00000;0;1;14,45420;C
364;0;3;male;35,00000;0;0;7,05000;S
365;0;3;male;;1;0;15,50000;Q
366;0;3;male;30,00000;0;0;7,25000;S
367;1;1;female;60,00000;1;0;75,25000;C
368;1;3;female;;0;0;7,22920;C
369;1;3;female;;0;0;7,75000;Q
370;1;1;female;24,00000;0;0;69,30000;C
371;1;1;male;25,00000;1;0;55,44170;C
372;0;3;male;18,00000;1;0;6,49580;S
373;0;3;male;19,00000;0;0;8,05000;S
374;0;1;male;22,00000;0;0;135,63330;C
375;0;3;female;3,00000;3;1;21,07500;S
376;1;1;female;;1;0;82,17080;C
377;1;3;female;22,00000;0;0;7,25000;S
378;0;1;male;27,00000;0;2;211,50000;C
379;0;3;male;20,00000;0;0;4,01250;C
380;0;3;male;19,00000;0;0;7,77500;S
381;1;1;female;42,00000;0;0;227,52500;C
382;1;3;female;1,00000;0;2;15,74170;C
383;0;3;male;32,00000;0;0;7,92500;S
384;1;1;female;35,00000;1;0;52,00000;S
385;0;3;male;;0;0;7,89580;S
386;0;2;male;18,00000;0;0;73,50000;S
387;0;3;male;1,00000;5;2;46,90000;S
388;1;2;female;36,00000;0;0;13,00000;S
389;0;3;male;;0;0;7,72920;Q
390;1;2;female;17,00000;0;0;12,00000;C
391;1;1;male;36,00000;1;2;120,00000;S
392;1;3;male;21,00000;0;0;7,79580;S
393;0;3;male;28,00000;2;0;7,92500;S
394;1;1;female;23,00000;1;0;113,27500;C
395;1;3;female;24,00000;0;2;16,70000;S
396;0;3;male;22,00000;0;0;7,79580;S
397;0;3;female;31,00000;0;0;7,85420;S
398;0;2;male;46,00000;0;0;26,00000;S
399;0;2;male;23,00000;0;0;10,50000;S
400;1;2;female;28,00000;0;0;12,65000;S
401;1;3;male;39,00000;0;0;7,92500;S
402;0;3;male;26,00000;0;0;8,05000;S
403;0;3;female;21,00000;1;0;9,82500;S
404;0;3;male;28,00000;1;0;15,85000;S
405;0;3;female;20,00000;0;0;8,66250;S
406;0;2;male;34,00000;1;0;21,00000;S
407;0;3;male;51,00000;0;0;7,75000;S
408;1;2;male;3,00000;1;1;18,75000;S
409;0;3;male;21,00000;0;0;7,77500;S
410;0;3;female;;3;1;25,46670;S
411;0;3;male;;0;0;7,89580;S
412;0;3;male;;0;0;6,85830;Q
413;1;1;female;33,00000;1;0;90,00000;Q
414;0;2;male;;0;0;0,00000;S
415;1;3;male;44,00000;0;0;7,92500;S
416;0;3;female;;0;0;8,05000;S
417;1;2;female;34,00000;1;1;32,50000;S
418;1;2;female;18,00000;0;2;13,00000;S
419;0;2;male;30,00000;0;0;13,00000;S
420;0;3;female;10,00000;0;2;24,15000;S
421;0;3;male;;0;0;7,89580;C
422;0;3;male;21,00000;0;0;7,73330;Q
423;0;3;male;29,00000;0;0;7,87500;S
424;0;3;female;28,00000;1;1;14,40000;S
425;0;3;male;18,00000;1;1;20,21250;S
426;0;3;male;;0;0;7,25000;S
427;1;2;female;28,00000;1;0;26,00000;S
428;1;2;female;19,00000;0;0;26,00000;S
429;0;3;male;;0;0;7,75000;Q
430;1;3;male;32,00000;0;0;8,05000;S
431;1;1;male;28,00000;0;0;26,55000;S
432;1;3;female;;1;0;16,10000;S
433;1;2;female;42,00000;1;0;26,00000;S
434;0;3;male;17,00000;0;0;7,12500;S
435;0;1;male;50,00000;1;0;55,90000;S
436;1;1;female;14,00000;1;2;120,00000;S
437;0;3;female;21,00000;2;2;34,37500;S
438;1;2;female;24,00000;2;3;18,75000;S
439;0;1;male;64,00000;1;4;263,00000;S
440;0;2;male;31,00000;0;0;10,50000;S
441;1;2;female;45,00000;1;1;26,25000;S
442;0;3;male;20,00000;0;0;9,50000;S
443;0;3;male;25,00000;1;0;7,77500;S
444;1;2;female;28,00000;0;0;13,00000;S
445;1;3;male;;0;0;8,11250;S
446;1;1;male;4,00000;0;2;81,85830;S
447;1;2;female;13,00000;0;1;19,50000;S
448;1;1;male;34,00000;0;0;26,55000;S
449;1;3;female;5,00000;2;1;19,25830;C
450;1;1;male;52,00000;0;0;30,50000;S
451;0;2;male;36,00000;1;2;27,75000;S
452;0;3;male;;1;0;19,96670;S
453;0;1;male;30,00000;0;0;27,75000;C
454;1;1;male;49,00000;1;0;89,10420;C
455;0;3;male;;0;0;8,05000;S
456;1;3;male;29,00000;0;0;7,89580;C
457;0;1;male;65,00000;0;0;26,55000;S
458;1;1;female;;1;0;51,86250;S
459;1;2;female;50,00000;0;0;10,50000;S
460;0;3;male;;0;0;7,75000;Q
461;1;1;male;48,00000;0;0;26,55000;S
462;0;3;male;34,00000;0;0;8,05000;S
463;0;1;male;47,00000;0;0;38,50000;S
464;0;2;male;48,00000;0;0;13,00000;S
465;0;3;male;;0;0;8,05000;S
466;0;3;male;38,00000;0;0;7,05000;S
467;0;2;male;;0;0;0,00000;S
468;0;1;male;56,00000;0;0;26,55000;S
469;0;3;male;;0;0;7,72500;Q
470;1;3;female;0,75000;2;1;19,25830;C
471;0;3;male;;0;0;7,25000;S
472;0;3;male;38,00000;0;0;8,66250;S
473;1;2;female;33,00000;1;2;27,75000;S
474;1;2;female;23,00000;0;0;13,79170;C
475;0;3;female;22,00000;0;0;9,83750;S
476;0;1;male;;0;0;52,00000;S
477;0;2;male;34,00000;1;0;21,00000;S
478;0;3;male;29,00000;1;0;7,04580;S
479;0;3;male;22,00000;0;0;7,52080;S
480;1;3;female;2,00000;0;1;12,28750;S
481;0;3;male;9,00000;5;2;46,90000;S
482;0;2;male;;0;0;0,00000;S
483;0;3;male;50,00000;0;0;8,05000;S
484;1;3;female;63,00000;0;0;9,58750;S
485;1;1;male;25,00000;1;0;91,07920;C
486;0;3;female;;3;1;25,46670;S
487;1;1;female;35,00000;1;0;90,00000;S
488;0;1;male;58,00000;0;0;29,70000;C
489;0;3;male;30,00000;0;0;8,05000;S
490;1;3;male;9,00000;1;1;15,90000;S
491;0;3;male;;1;0;19,96670;S
492;0;3;male;21,00000;0;0;7,25000;S
493;0;1;male;55,00000;0;0;30,50000;S
494;0;1;male;71,00000;0;0;49,50420;C
495;0;3;male;21,00000;0;0;8,05000;S
496;0;3;male;;0;0;14,45830;C
497;1;1;female;54,00000;1;0;78,26670;C
498;0;3;male;;0;0;15,10000;S
499;0;1;female;25,00000;1;2;151,55000;S
500;0;3;male;24,00000;0;0;7,79580;S
501;0;3;male;17,00000;0;0;8,66250;S
502;0;3;female;21,00000;0;0;7,75000;Q
503;0;3;female;;0;0;7,62920;Q
504;0;3;female;37,00000;0;0;9,58750;S
505;1;1;female;16,00000;0;0;86,50000;S
506;0;1;male;18,00000;1;0;108,90000;C
507;1;2;female;33,00000;0;2;26,00000;S
508;1;1;male;;0;0;26,55000;S
509;0;3;male;28,00000;0;0;22,52500;S
510;1;3;male;26,00000;0;0;56,49580;S
511;1;3;male;29,00000;0;0;7,75000;Q
512;0;3;male;;0;0;8,05000;S
513;1;1;male;36,00000;0;0;26,28750;S
514;1;1;female;54,00000;1;0;59,40000;C
515;0;3;male;24,00000;0;0;7,49580;S
516;0;1;male;47,00000;0;0;34,02080;S
517;1;2;female;34,00000;0;0;10,50000;S
518;0;3;male;;0;0;24,15000;Q
519;1;2;female;36,00000;1;0;26,00000;S
520;0;3;male;32,00000;0;0;7,89580;S
521;1;1;female;30,00000;0;0;93,50000;S
522;0;3;male;22,00000;0;0;7,89580;S
523;0;3;male;;0;0;7,22500;C
524;1;1;female;44,00000;0;1;57,97920;C
525;0;3;male;;0;0;7,22920;C
526;0;3;male;40,50000;0;0;7,75000;Q
527;1;2;female;50,00000;0;0;10,50000;S
528;0;1;male;;0;0;221,77920;S
529;0;3;male;39,00000;0;0;7,92500;S
530;0;2;male;23,00000;2;1;11,50000;S
531;1;2;female;2,00000;1;1;26,00000;S
532;0;3;male;;0;0;7,22920;C
533;0;3;male;17,00000;1;1;7,22920;C
534;1;3;female;;0;2;22,35830;C
535;0;3;female;30,00000;0;0;8,66250;S
536;1;2;female;7,00000;0;2;26,25000;S
537;0;1;male;45,00000;0;0;26,55000;S
538;1;1;female;30,00000;0;0;106,42500;C
539;0;3;male;;0;0;14,50000;S
540;1;1;female;22,00000;0;2;49,50000;C
541;1;1;female;36,00000;0;2;71,00000;S
542;0;3;female;9,00000;4;2;31,27500;S
543;0;3;female;11,00000;4;2;31,27500;S
544;1;2;male;32,00000;1;0;26,00000;S
545;0;1;male;50,00000;1;0;106,42500;C
546;0;1;male;64,00000;0;0;26,00000;S
547;1;2;female;19,00000;1;0;26,00000;S
548;1;2;male;;0;0;13,86250;C
549;0;3;male;33,00000;1;1;20,52500;S
550;1;2;male;8,00000;1;1;36,75000;S
551;1;1;male;17,00000;0;2;110,88330;C
552;0;2;male;27,00000;0;0;26,00000;S
553;0;3;male;;0;0;7,82920;Q
554;1;3;male;22,00000;0;0;7,22500;C
555;1;3;female;22,00000;0;0;7,77500;S
556;0;1;male;62,00000;0;0;26,55000;S
557;1;1;female;48,00000;1;0;39,60000;C
558;0;1;male;;0;0;227,52500;C
559;1;1;female;39,00000;1;1;79,65000;S
560;1;3;female;36,00000;1;0;17,40000;S
561;0;3;male;;0;0;7,75000;Q
562;0;3;male;40,00000;0;0;7,89580;S
563;0;2;male;28,00000;0;0;13,50000;S
564;0;3;male;;0;0;8,05000;S
565;0;3;female;;0;0;8,05000;S
566;0;3;male;24,00000;2;0;24,15000;S
567;0;3;male;19,00000;0;0;7,89580;S
568;0;3;female;29,00000;0;4;21,07500;S
569;0;3;male;;0;0;7,22920;C
570;1;3;male;32,00000;0;0;7,85420;S
571;1;2;male;62,00000;0;0;10,50000;S
572;1;1;female;53,00000;2;0;51,47920;S
573;1;1;male;36,00000;0;0;26,38750;S
574;1;3;female;;0;0;7,75000;Q
575;0;3;male;16,00000;0;0;8,05000;S
576;0;3;male;19,00000;0;0;14,50000;S
577;1;2;female;34,00000;0;0;13,00000;S
578;1;1;female;39,00000;1;0;55,90000;S
579;0;3;female;;1;0;14,45830;C
580;1;3;male;32,00000;0;0;7,92500;S
581;1;2;female;25,00000;1;1;30,00000;S
582;1;1;female;39,00000;1;1;110,88330;C
583;0;2;male;54,00000;0;0;26,00000;S
584;0;1;male;36,00000;0;0;40,12500;C
585;0;3;male;;0;0;8,71250;C
586;1;1;female;18,00000;0;2;79,65000;S
587;0;2;male;47,00000;0;0;15,00000;S
588;1;1;male;60,00000;1;1;79,20000;C
589;0;3;male;22,00000;0;0;8,05000;S
590;0;3;male;;0;0;8,05000;S
591;0;3;male;35,00000;0;0;7,12500;S
592;1;1;female;52,00000;1;0;78,26670;C
593;0;3;male;47,00000;0;0;7,25000;S
594;0;3;female;;0;2;7,75000;Q
595;0;2;male;37,00000;1;0;26,00000;S
596;0;3;male;36,00000;1;1;24,15000;S
597;1;2;female;;0;0;33,00000;S
598;0;3;male;49,00000;0;0;0,00000;S
